indice_tiempo,cer_diario,uva_diario,uvi_diario,fecha_num,compra_usd,venta_usd,venta_usd_65
2016-03-31,5.5636,14.05,14.05,20160331,14.539,14.889,24.56685
2016-04-01,5.5684,14.05,14.05,20160401,14.642,14.997,24.74505
2016-04-02,5.5732,14.06,14.06,20160402,14.679,15.039,24.81435
2016-04-03,5.5781,14.06,14.06,20160403,14.679,15.039,24.81435
2016-04-04,5.5829,14.06,14.06,20160404,14.679,15.039,24.81435
2016-04-05,5.5877,14.1,14.1,20160405,14.557,14.915,24.60975
2016-04-06,5.5925,14.11,14.12,20160406,14.568,14.927,24.62955
2016-04-07,5.5974,14.12,14.13,20160407,14.41,14.765,24.36225
2016-04-08,5.6022,14.14,14.14,20160408,14.344,14.694,24.2451
2016-04-09,5.607,14.15,14.16,20160409,14.393,14.74,24.321
2016-04-10,5.6119,14.15,14.16,20160410,14.393,14.74,24.321
2016-04-11,5.6167,14.15,14.16,20160411,14.393,14.74,24.321
2016-04-12,5.6216,14.18,14.2,20160412,14.388,14.74,24.321
2016-04-13,5.6264,14.2,14.21,20160413,14.279,14.633,24.14445
2016-04-14,5.6313,14.21,14.23,20160414,14.261,14.615,24.11475
2016-04-15,5.6362,14.22,14.24,20160415,14.123,14.478,23.8887
2016-04-16,5.641,14.23,14.25,20160416,14.027,14.382,23.7303
2016-04-17,5.6459,14.23,14.25,20160417,14.027,14.382,23.7303
2016-04-18,5.6508,14.23,14.25,20160418,14.027,14.382,23.7303
2016-04-19,5.6556,14.27,14.29,20160419,14.073,14.427,23.80455
2016-04-20,5.6605,14.28,14.31,20160420,14.177,14.535,23.98275
2016-04-21,5.6654,14.29,14.32,20160421,14.315,14.661,24.19065
2016-04-22,5.6703,14.31,14.33,20160422,14.269,14.619,24.12135
2016-04-23,5.6752,14.32,14.35,20160423,14.239,14.592,24.0768
2016-04-24,5.6801,14.32,14.35,20160424,14.239,14.592,24.0768
2016-04-25,5.685,14.32,14.35,20160425,14.239,14.592,24.0768
2016-04-26,5.6906,14.36,14.39,20160426,14.211,14.566,24.0339
2016-04-27,5.6961,14.37,14.39,20160427,14.117,14.471,23.87715
2016-04-28,5.7017,14.38,14.4,20160428,14.139,14.491,23.91015
2016-04-29,5.7073,14.4,14.4,20160429,14.158,14.51,23.9415
2016-04-30,5.7129,14.41,14.41,20160430,14.163,14.516,23.9514
2016-05-01,5.7185,14.41,14.41,20160501,14.163,14.516,23.9514
2016-05-02,5.7241,14.41,14.41,20160502,14.163,14.516,23.9514
2016-05-03,5.7297,14.46,14.42,20160503,14.105,14.464,23.8656
2016-05-04,5.7353,14.47,14.42,20160504,14.107,14.466,23.8689
