indice_tiempo,cer_diario,uva_diario,uvi_diario,usd_date_cotizacion,usd_date_cotizacion_int,usd_compra,usd_venta,uva_deuda,pesos_deuda,usd_deuda
2016-03-31,5.5636,14.05,14.05,2016-03-31 00:00:00 +0000 UTC,20160331,14.539,14.889,46715.66,656355.023,44083.2173416616
2016-04-01,5.5684,14.05,14.05,2016-04-01 00:00:00 +0000 UTC,20160401,14.642,14.997,46715.66,656355.023,43765.7546842702
2016-04-02,5.5732,14.06,14.06,2016-04-02 00:00:00 +0000 UTC,20160404,14.679,15.039,46715.66,656822.1796,43674.591369107
2016-04-03,5.5781,14.06,14.06,2016-04-03 00:00:00 +0000 UTC,20160404,14.679,15.039,46715.66,656822.1796,43674.591369107
2016-04-04,5.5829,14.06,14.06,2016-04-04 00:00:00 +0000 UTC,20160404,14.679,15.039,46715.66,656822.1796,43674.591369107
2016-04-05,5.5877,14.1,14.1,2016-04-05 00:00:00 +0000 UTC,20160405,14.557,14.915,46715.66,658690.806,44162.9772712035
2016-04-06,5.5925,14.11,14.12,2016-04-06 00:00:00 +0000 UTC,20160406,14.568,14.927,46715.66,659157.9626,44158.7701882495
2016-04-07,5.5974,14.12,14.13,2016-04-07 00:00:00 +0000 UTC,20160407,14.41,14.765,46715.66,659625.1192,44674.914947511
2016-04-08,5.6022,14.14,14.14,2016-04-08 00:00:00 +0000 UTC,20160408,14.344,14.694,46715.66,660559.4324,44954.36452974
2016-04-09,5.607,14.15,14.16,2016-04-09 00:00:00 +0000 UTC,20160411,14.393,14.74,46715.66,661026.589,44845.7658751696
2016-04-10,5.6119,14.15,14.16,2016-04-10 00:00:00 +0000 UTC,20160411,14.393,14.74,46715.66,661026.589,44845.7658751696
2016-04-11,5.6167,14.15,14.16,2016-04-11 00:00:00 +0000 UTC,20160411,14.393,14.74,46715.66,661026.589,44845.7658751696
2016-04-12,5.6216,14.18,14.2,2016-04-12 00:00:00 +0000 UTC,20160412,14.388,14.74,46715.66,662428.0588,44940.8452374491
2016-04-13,5.6264,14.2,14.21,2016-04-13 00:00:00 +0000 UTC,20160413,14.279,14.633,46715.66,663362.372,45333.3131962004
2016-04-14,5.6313,14.21,14.23,2016-04-14 00:00:00 +0000 UTC,20160414,14.261,14.615,46715.66,663829.5286,45421.110407116
